,type,userId,caseNum,Meeting type,environment,windowMode,center position,distance,transparency,theta,phi,label(81-99),visual angle,favorite
61,1,4,4,2,high,1,"[0.07115590572357178, -0.027598142623901367, 0.8673264384269714]",0.8706778803,0.5408811569,1.488939136,1.602498942,5,0.1199841375,0
62,0,4,4,2,high,0,"[0.05872431397438049, -0.19803953170776367, 0.8367089629173279]",0.8618295016,0.5382376313,1.500726354,1.802657909,8,0.247778191,1
63,0,4,4,2,high,1,"[0.05872431397438049, -0.19803953170776367, 0.8367089629173279]",0.8618295016,0.5382376313,1.500726354,1.802657909,8,0.247778191,0
64,1,5,1,1,low,0,"[0.11421186476945877, -0.11140669137239456, 0.36332786083221436]",0.3968159969,1,1.26622756,1.855373351,9,0.2889192101,0
65,1,5,1,1,low,1,"[0.11421186476945877, -0.11140669137239456, 0.36332786083221436]",0.3968159969,1,1.26622756,1.855373351,9,0.2889192101,1
66,0,5,1,1,low,0,"[-0.11684950441122055, -0.3783552050590515, 0.5957486629486084]",0.7153481231,1,1.764476576,2.128112734,7,0.4165824914,0
67,0,5,1,1,low,1,"[-0.11684950441122055, -0.3783552050590515, 0.5957486629486084]",0.7153481231,1,1.764476576,2.128112734,7,0.4165824914,1
68,1,5,2,2,low,1,"[0.11421186476945877, -0.11140669137239456, 0.36332786083221436]",0.3968159969,1,1.26622756,1.855373351,9,0.2889192101,0
69,0,5,2,2,low,1,"[0.075219064950943, -0.34365296363830566, 0.5672244429588318]",0.6674569918,0.6655466557,1.438956545,2.111651245,8,0.2707900762,0
70,1,5,2,2,low,0,"[0.18774531781673431, -0.1939016580581665, 0.3238527178764343]",0.4215764939,1,1.045418795,2.048728669,9,0.2670301266,1
71,0,5,2,2,low,0,"[0.075219064950943, -0.34365296363830566, 0.5672244429588318]",0.6674569918,0.6655466557,1.438956545,2.111651245,8,0.2707900762,1
72,1,5,3,1,high,1,"[0.19142824411392212, -0.15001946687698364, 0.4127860367298126]",0.4791063819,0.8039903641,1.136569468,1.889276474,9,0.2706990768,1
73,0,5,3,1,high,1,"[0.00443283561617136, -0.36109060049057007, 0.5176292657852173]",0.6311466776,1,1.562232809,2.179882686,8,0.3407390853,1
74,1,5,3,1,high,0,"[0.016964338719844818, -0.24412775039672852, 0.4269320070743561]",0.4920945905,0.8039903641,1.531081762,2.089896714,8,0.2644855353,0
75,0,5,3,1,high,0,"[-0.0019619008526206017, -0.31598663330078125, 0.43979519605636597]",0.5415452114,1,1.575257239,2.19381676,8,0.3947479325,0
76,1,5,4,2,high,0,"[0.18643306195735931, -0.29800844192504883, 0.4088623821735382]",0.5391982619,0.8039903641,1.142980587,2.156382589,9,0.2381726351,1
77,1,5,4,2,high,1,"[0.18643306195735931, -0.29800844192504883, 0.4088623821735382]",0.5391982619,0.8039903641,1.142980587,2.156382589,9,0.2381726351,0
78,0,5,4,2,high,0,"[-0.0041151694022119045, -0.3082882761955261, 0.4133462905883789]",0.5156682575,1,1.580751741,2.211602979,8,0.2631241179,1
79,0,5,4,2,high,1,"[-0.0041151694022119045, -0.3082882761955261, 0.4133462905883789]",0.5156682575,1,1.580751741,2.211602979,8,0.2631241179,0
80,1,6,1,1,low,0,"[-0.222962886095047, -0.25931572914123535, 0.682741105556488]",0.7636049457,0.8627660275,1.886447744,1.917281638,7,0.1894526789,0
81,0,6,1,1,low,0,"[-0.23650673031806946, -0.0077588558197021484, 0.703380286693573]",0.7421182258,0.7264430523,1.895163333,1.58125153,4,0.3483377587,0
82,1,6,1,1,low,1,"[-0.10739249736070633, -0.22668489813804626, 0.71791672706604]",0.7604759158,0.8100032806,1.719284365,1.873479991,8,0.1766845717,1
83,0,6,1,1,low,1,"[-0.14769470691680908, 0.02588411048054695, 0.7277147769927979]",0.7430023622,0.7419681549,1.771033399,1.535952092,4,0.422276901,1
84,1,6,2,2,low,0,"[-0.2624492943286896, -0.1982453316450119, 0.7375049591064453]",0.8075236271,0.8100032806,1.912683006,1.818829575,7,0.2158301978,0
85,1,6,2,2,low,1,"[-0.2624492943286896, -0.1982453316450119, 0.7375049591064453]",0.8075236271,0.8100032806,1.912683006,1.818829575,7,0.2158301978,1
86,0,6,2,2,low,0,"[-0.2921839654445648, 0.022509971633553505, 0.7684038281440735]",0.8223883581,0.7419681549,1.934159966,1.543421446,4,0.2582573136,0
87,0,6,2,2,low,1,"[-0.2921839654445648, 0.022509971633553505, 0.7684038281440735]",0.8223883581,0.7419681549,1.934159966,1.543421446,4,0.2582573136,1
88,1,6,3,1,high,0,"[-0.1871240735054016, 0.19947600364685059, 0.8426904678344727]",0.8859646265,0.4427564144,1.789306414,1.343698103,1,0.08735425357,0
89,1,6,3,1,high,1,"[-0.1871240735054016, 0.19947600364685059, 0.8426904678344727]",0.8859646265,0.4427564144,1.789306414,1.343698103,1,0.08735425357,1
90,0,6,3,1,high,0,"[0.05530937761068344, 0.2547037601470947, 0.8248779773712158]",0.8650761875,0.4891986847,1.503844956,1.271938053,2,0.2303081188,0
91,0,6,3,1,high,1,"[0.05530937761068344, 0.2547037601470947, 0.8248779773712158]",0.8650761875,0.4891986847,1.503844956,1.271938053,2,0.2303081188,1
92,1,6,4,2,high,0,"[0.09752947092056274, 0.25653231143951416, 0.9576802253723145]",0.9962290091,0.7035822868,1.469306932,1.310358794,2,0.1671906414,0
93,1,6,4,2,high,1,"[0.09752947092056274, 0.25653231143951416, 0.9576802253723145]",0.9962290091,0.7035822868,1.469306932,1.310358794,2,0.1671906414,1
94,0,6,4,2,high,0,"[0.11091610789299011, 0.4320615530014038, 1.0261515378952026]",1.11891311,0.7082905769,1.463124944,1.174348665,2,0.1676136689,0
95,0,6,4,2,high,1,"[0.11091610789299011, 0.4320615530014038, 1.0261515378952026]",1.11891311,0.7082905769,1.463124944,1.174348665,2,0.1676136689,1
96,1,7,1,1,low,0,"[0.11712536215782166, -0.4081454277038574, 0.837896466255188]",0.9393463306,1,1.431911253,2.020278734,8,0.1391403082,1
97,0,7,1,1,low,0,"[-0.5826818346977234, -0.41768503189086914, 0.6219881176948547]",0.9491301939,1,2.323577803,2.026474487,7,0.3728712564,1
98,1,7,1,1,low,1,"[0.3021705746650696, -0.4101686477661133, 0.7475438714027405]",0.9046365101,1,1.186659171,2.041380608,9,0.1437163476,0
99,0,7,1,1,low,1,"[-0.25607767701148987, -0.37691032886505127, 0.6006300449371338]",0.7539188441,1,1.973808552,2.094319913,7,0.3249949876,0
